first_name,last_name,price,above_100
William,Dixon,109.0372796,True
Kristen,Horn,262.5246522,True
Kimberly,Chang,187.0072583,True
Mary,Ball,283.1746476,True
Benjamin,Craig,143.8715817,True
Cathy,Werner,61.50899135,True
Brandon,Bell,48.6373091,True
Paul,Farley,12.38946479,True
Sarah,Mcdaniel,151.5954472,True
Caroline,Anderson,75.62152103,True
Carl,Jones,147.0294047,True
Scott,Lee,244.1856527,True
Kaylee,Coleman,17.86427032,True
Charles,Parker,215.537283,True
Susan,Hess,38.35997063,True
Kiara,Collier,204.1825486,True
Mr.,Scott,165.8514289,True
Christopher,Ortega,30.30144506,True
Michael,Russell,243.1724911,True
Dwayne,Johnson,287.4932856,True
Patty,Smith,180.2344257,True
Deanna,Sherman,99.79911842,True
Douglas,Francis,161.7688908,True
Vicki,Diaz,18.64987672,True
Robin,Phillips,244.9119836,True
Travis,Rice,141.4988254,True
Ashley,Rocha,50.00303731,True
Sarah,Jacobson,80.48182457,True
Kayla,Shannon,98.91531394,True
Sean,Wang,220.6282177,True
Richard,Estrada,49.16869151,True
Joseph,Torres,150.1237842,True
Kim,Jones,18.8434377,True
Melissa,Tanner,269.1840299,True
Jackson,Cline,64.31251721,True
Sonya,Foster,296.2155012,True
Allen,Williams,15.3908317,True
Mr.,Thomas,95.22843716,True
Jamie,Silva,296.8244075,True
Kathleen,Moore,92.50052419,True
Evelyn,Pineda,169.2289293,True
Kyle,Peters,106.7990952,True
Anthony,Cruz,49.10199817,True
Eric,Flores,122.9556986,True
Anna,Richardson,254.4952606,True
Gary,Harper,47.59652592,True
Linda,Johnson,115.3627815,True
Melissa,Smith,87.97994846,True
Kristen,Floyd,135.0230413,True
William,Diaz,192.1491355,True
Benjamin,Smith,134.9052939,True
David,Glenn,216.2910463,True
Dawn,Jones,271.6144999,True
Joel,Smith,14.4949198,True
Mr.,Larry,268.6758682,True
Joseph,Arnold,121.7750468,True
Kyle,Long,241.6216391,True
Brittany,Day,261.5460574,True
Bobby,Ward,63.5130358,True
Thomas,Lee,254.0755771,True
Jennifer,Hansen,101.4887352,True
Lisa,Murray,176.0919174,True
Meghan,Wade,273.2303409,True
Tammie,Brooks,84.88856949,True
Maria,Bell,264.0746652,True
Allison,Livingston,130.3484426,True
Chris,Hays,17.34276379,True
Courtney,Mitchell,78.93257699,True
Shawn,White,188.0219256,True
Taylor,Gomez,225.0198237,True
Jeremy,Rodriguez,200.7248208,True
April,Garcia,66.24555967,True
Zachary,Watts,15.49738786,True
Sarah,Montoya,206.8212547,True
Jennifer,Barker,89.18615989,True
Sharon,Garza,72.35772704,True
Tiffany,Stevens,196.379322,True
Ruben,Armstrong,93.69836738,True
Dr.,Jeffrey,271.162282,True
Nicole,Ramsey,247.8596071,True
Anne,Roy,277.9324821,True
Lori,Sanchez,285.6616405,True
Allison,Chavez,126.850211,True
Marcus,Adams,36.47040894,True
Mary,Smith,16.31507197,True
Joseph,Reed,178.4576742,True
Jason,Armstrong,26.04525746,True
Jeff,Armstrong,88.47561284,True
Sean,Shields,247.8395255,True
Jessica,Allison,104.742308,True
Christian,Grant,99.11707917,True
Edward,Watson,180.3535589,True
Derrick,Cooke,142.090116,True
Arthur,Hall,235.9669749,True
Sean,Patrick,139.4507994,True
Heather,Collins,127.3925734,True
Megan,Gomez,107.8624451,True
William,Hale,114.6709254,True
Olivia,Thompson,8.608441014,True
Lori,Torres,18.85827433,True
Vickie,Hernandez,214.9321807,True
Kimberly,Brown,40.3199327,True
Sherry,Meza,182.8545499,True
Phillip,Hansen,44.11611704,True
Jeanette,Knight,28.68694329,True
Kayla,Hanson,27.63036397,True
James,Johnston,284.4290554,True
Dr.,John,53.72799274,True
Elizabeth,Reyes,93.68075684,True
Kristen,Henry,77.00624357,True
Claudia,Anderson,160.3401593,True
Nicholas,Webb,18.71038619,True
Allison,Cooper,206.0421068,True
Zachary,Barnes,280.7741315,True
Gregory,Hill,265.9765808,True
Terry,Ayers,16.51163899,True
Jessica,Wilson,290.4095461,True
Daniel,Frazier,190.3291917,True
Brian,Welch,218.2505083,True
Carol,Chavez,123.1834427,True
Ethan,Mcdonald,214.3503174,True
Gerald,Martinez,57.54786356,True
Eric,King,59.87926423,True
